Comment,Designator,Footprint,LCSC
1M,R1,Resistor_SMD:R_0402_1005Metric,C26083
4.7u,"C1,C2,C17,C18",Capacitor_SMD:C_0402_1005Metric,C23733
100n,"C5,C8,C9,C10,C11,C12,C13,C14,C15,C16",Capacitor_SMD:C_0402_1005Metric,C1525
27,"R7,R8",Resistor_SMD:R_0402_1005Metric,C25190
12 mhz crystal,Y1,Crystal:Crystal_SMD_3225-4Pin_3.2x2.5mm,C9002
15p,"C3,C4",Capacitor_SMD:C_0402_1005Metric,C1548
1u,"C6,C7",Capacitor_SMD:C_0402_1005Metric,C52923
1K,"R4,R5",Resistor_SMD:R_0402_1005Metric,C11702
LED,"D2,D3,D4",LED_SMD:LED_0603_1608Metric,
RP2040,U1,Package_DFN_QFN:QFN-56-1EP_7x7mm_P0.4mm_EP3.2x3.2mm,C2040
AMS1117-3.3_SOT223,U2,Package_TO_SOT_SMD:SOT-223-3_TabPin2,C6186
USB_C_Receptacle_USB2.0_14P,J1,Fightstick_Library:USB_C_Receptacle_U262-161N-4BVC11,C6332272
Memory Reset,SW1,Fightstick_Library:SW_TS-1187A-C-A-B,C318884
330,R9,Resistor_SMD:R_0402_1005Metric,C25104
5.1K,"R2,R3",Resistor_SMD:R_0402_1005Metric,C25905
LED,D1,LED_SMD:LED_0603_1608Metric,
W25Q128JVSIQ,U3,Package_SO:SOIC-8_5.23x5.23mm_P1.27mm,C97521
